DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	Lung_M1_*	Lung_F1_*	Lung_F2_*	Lung_M2_*	Lung_F3_*	Lung_M3_*
78	1778	895	612	2703	1918	595
79	1806	911	619	2793	2000	601
80	1849	914	654	2801	2044	629
81	1849	914	734	2868	2056	686
82	1876	926	753	2868	2156	712
83	2000	969	753	3098	2156	778
84	2000	969	821	3218	2156	792
85	2000	969	836	3287	2183	803
86	2013	976	836	3287	2262	859
87	2117	976	836	3365	2262	869
88	2212	1044	883	3365	2422	869
89	2295	1195	892	3365	2442	871
90	2295	1231	901	3419	2632	889
91	2295	1363	901	3419	2632	919
92	2325	1403	914	3419	2693	1002
93	2434	1443	947	3505	2803	1002
94	2483	1443	954	3653	2978	1002
95	2599	1452	976	3911	3027	1027
96	2955	1473	1059	4208	3027	1093
97	3077	1497	1099	4208	3051	1106
98	3088	1583	1116	4411	3051	1110
99	3230	1670	1116	4411	3051	1110
100	3325	1791	1116	4411	3641	1171
101	3325	1791	1136	4424	4606	1214
102	3486	1915	1136	4424	4966	1218
103	3563	1922	1212	4727	5140	1218
104	3838	1966	1232	4727	5239	1312
105	4411	2029	1257	4738	6026	1403
106	4697	2029	1257	4774	6318	1403
107	4881	2077	1274	4782	6983	1506
108	5053	2077	1283	5117	6983	1609
109	5371	2179	1440	5233	6996	1622
110	5624	2230	1475	5277	7107	1772
111	5721	2230	1729	5284	7340	1842
112	5765	2230	1805	5897	7342	1842
113	6559	2246	1856	5897	7451	2160
114	6701	2283	1856	6288	7739	2160
115	6701	2423	1983	6288	7739	2160
116	6701	2744	2002	6288	8678	2231
117	7477	2744	2088	6495	9070	2231
118	7477	2780	2356	6495	9369	2236
119	7508	2780	2514	7007	9369	2308
120	7727	2843	2570	7380	10012	2431
121	7898	2857	2610	7935	10392	2455
122	8849	2922	2623	8601	10423	2455
123	9272	2993	2683	8601	10537	2455
124	9565	3174	2827	9126	11114	2465
125	10079	3425	2827	9660	11118	2474
126	10161	3610	2876	9753	12834	2533
127	10172	3859	3018	9885	12976	2563
128	10210	3963	3018	10464	13220	2839
129	10235	4078	3018	10505	14453	2876
130	11410	4094	3068	10888	16257	2948
131	11410	4636	3890	11642	16302	2995
132	11658	5027	3966	13387	16350	2998
133	11658	5178	3979	13717	17300	3307
134	12108	5298	4100	14219	17944	3437
135	12488	5307	4100	14219	17963	3619
136	12851	5399	4329	14560	17963	3619
137	12903	5559	4609	14560	17963	3707
138	16415	5573	4908	14772	17981	3775
139	17464	5898	5008	14943	18009	3879
140	17464	5951	5262	14943	18009	3964
141	18008	5951	5285	15193	18009	4044
142	18642	5970	5455	15768	18747	4044
